Epoch,Epoch Average Loss,Validation Loss
0, 0.5816, 0.5696
1, 0.5701, 0.5648
2, 0.5655, 0.5607
3, 0.5624, 0.5572
4, 0.5608, 0.5587
5, 0.5586, 0.5552
6, 0.5569, 0.5549
7, 0.5555, 0.5537
8, 0.5552, 0.5520
9, 0.5536, 0.5512
10, 0.5531, 0.5510
11, 0.5516, 0.5510
12, 0.5515, 0.5524
13, 0.5506, 0.5493
14, 0.5495, 0.5502
15, 0.5495, 0.5494
16, 0.5479, 0.5495
17, 0.5481, 0.5498
18, 0.5478, 0.5502
19, 0.5469, 0.5490
20, 0.5467, 0.5483
21, 0.5461, 0.5485
22, 0.5460, 0.5496
23, 0.5465, 0.5497
24, 0.5453, 0.5496
25, 0.5457, 0.5494
26, 0.5446, 0.5465
27, 0.5444, 0.5473
28, 0.5442, 0.5474
29, 0.5439, 0.5477
30, 0.5440, 0.5474
31, 0.5433, 0.5485
32, 0.5433, 0.5469
33, 0.5432, 0.5492
34, 0.5430, 0.5472
35, 0.5428, 0.5472
36, 0.5428, 0.5477
37, 0.5426, 0.5472
38, 0.5425, 0.5476
39, 0.5421, 0.5472
40, 0.5422, 0.5454
41, 0.5414, 0.5465
42, 0.5415, 0.5463
43, 0.5417, 0.5468
44, 0.5419, 0.5478
45, 0.5419, 0.5465
46, 0.5410, 0.5461
47, 0.5414, 0.5473
48, 0.5415, 0.5459
49, 0.5406, 0.5467
50, 0.5404, 0.5454
51, 0.5407, 0.5457
52, 0.5409, 0.5463
53, 0.5408, 0.5457
54, 0.5404, 0.5455
55, 0.5405, 0.5485
56, 0.5408, 0.5462
57, 0.5403, 0.5457
58, 0.5398, 0.5451
59, 0.5405, 0.5466
60, 0.5398, 0.5471
61, 0.5396, 0.5465
62, 0.5399, 0.5463
63, 0.5396, 0.5466
64, 0.5399, 0.5471
65, 0.5398, 0.5458
66, 0.5393, 0.5459
67, 0.5395, 0.5458
68, 0.5392, 0.5472
69, 0.5388, 0.5465
70, 0.5392, 0.5458
71, 0.5390, 0.5471
72, 0.5397, 0.5492
73, 0.5395, 0.5454
74, 0.5395, 0.5458
75, 0.5388, 0.5460
76, 0.5395, 0.5462
77, 0.5387, 0.5465
78, 0.5383, 0.5460
79, 0.5385, 0.5470
80, 0.5394, 0.5473
81, 0.5386, 0.5465
82, 0.5383, 0.5457
83, 0.5384, 0.5458
84, 0.5390, 0.5468
85, 0.5389, 0.5464
86, 0.5381, 0.5449
87, 0.5382, 0.5462
88, 0.5392, 0.5457
89, 0.5386, 0.5467
90, 0.5381, 0.5466
91, 0.5382, 0.5460
92, 0.5386, 0.5468
93, 0.5384, 0.5461
94, 0.5381, 0.5452
95, 0.5379, 0.5456
96, 0.5378, 0.5458
97, 0.5380, 0.5459
98, 0.5380, 0.5459
99, 0.5382, 0.5472
