Epoch,Loss,Validation Loss
1,0.5758,0.5621
2,0.5695,0.5567
3,0.5651,0.5564
4,0.5622,0.5518
5,0.56,0.5534
6,0.5583,0.547
7,0.5565,0.548
8,0.5557,0.547
9,0.5552,0.5458
10,0.554,0.5443
11,0.5532,0.5461
12,0.5523,0.5436
13,0.5513,0.5439
14,0.5509,0.544
15,0.5504,0.543
16,0.5502,0.5426
17,0.5494,0.5433
18,0.5489,0.5424
19,0.5483,0.5416
20,0.5479,0.5412
21,0.5479,0.5422
22,0.547,0.5423
23,0.547,0.5418
24,0.5463,0.5438
25,0.5468,0.5414
26,0.5462,0.5406
27,0.5458,0.5402
28,0.5455,0.5407
29,0.5453,0.5408
30,0.545,0.5409
31,0.5451,0.5416
32,0.5446,0.5416
33,0.5441,0.5409
34,0.5444,0.5412
35,0.5443,0.5413
36,0.544,0.5408
37,0.5441,0.5419
38,0.5436,0.5407
39,0.5436,0.5408
40,0.5433,0.5413
41,0.5438,0.5417
42,0.543,0.5406
43,0.5431,0.5409
44,0.5429,0.5396
45,0.543,0.5404
46,0.5426,0.5408
47,0.5426,0.5392
48,0.5422,0.5403
49,0.5427,0.54
50,0.5421,0.5401
51,0.5421,0.539
52,0.5428,0.5392
53,0.5423,0.5417
54,0.5418,0.5394
55,0.5415,0.5392
56,0.5415,0.5405
57,0.5417,0.5387
58,0.5414,0.5403
59,0.5415,0.5381
60,0.541,0.5381
61,0.5414,0.5412
62,0.5414,0.5404
63,0.5413,0.5399
64,0.5409,0.538
65,0.5415,0.5402
66,0.5416,0.5396
67,0.541,0.5385
68,0.5404,0.5403
69,0.541,0.5395
70,0.5406,0.5391
71,0.5406,0.5396
72,0.5404,0.5392
73,0.5406,0.5388
74,0.5403,0.5401
75,0.5402,0.5397
76,0.5402,0.539
77,0.5404,0.541
78,0.5402,0.5393
79,0.5402,0.5385
80,0.54,0.54
81,0.5402,0.5394
82,0.5401,0.5393
83,0.5401,0.542
84,0.5401,0.5411
85,0.5396,0.5398
86,0.5395,0.5397
87,0.5402,0.5394
88,0.5396,0.5389
89,0.5395,0.5392
90,0.5397,0.5411
91,0.5404,0.5386
92,0.5395,0.5379
93,0.5394,0.5382
94,0.5395,0.5383
95,0.5396,0.5387
96,0.5393,0.5397
97,0.5393,0.5405
98,0.5398,0.5386
99,0.5396,0.5384
100,0.5393,0.5384
