Epoch, Epoch Average Loss, Validation Loss
0, 0.5741, 0.5462
1, 0.5676, 0.5426
2, 0.5632, 0.5440
3, 0.5600, 0.5378
4, 0.5576, 0.5350
5, 0.5559, 0.5314
6, 0.5542, 0.5327
7, 0.5533, 0.5300
8, 0.5524, 0.5299
9, 0.5515, 0.5300
10, 0.5510, 0.5290
11, 0.5498, 0.5297
12, 0.5494, 0.5336
13, 0.5486, 0.5320
14, 0.5485, 0.5311
15, 0.5474, 0.5342
16, 0.5473, 0.5267
17, 0.5465, 0.5286
18, 0.5465, 0.5209
19, 0.5461, 0.5266
20, 0.5458, 0.5287
21, 0.5450, 0.5244
22, 0.5454, 0.5263
23, 0.5450, 0.5285
24, 0.5446, 0.5241
25, 0.5440, 0.5281
26, 0.5441, 0.5263
27, 0.5439, 0.5266
28, 0.5437, 0.5265
29, 0.5435, 0.5260
30, 0.5431, 0.5217
31, 0.5432, 0.5217
32, 0.5428, 0.5260
33, 0.5430, 0.5226
34, 0.5424, 0.5274
35, 0.5426, 0.5289
36, 0.5422, 0.5249
37, 0.5417, 0.5300
38, 0.5422, 0.5252
39, 0.5417, 0.5275
40, 0.5417, 0.5277
41, 0.5417, 0.5277
42, 0.5413, 0.5255
43, 0.5415, 0.5285
44, 0.5412, 0.5283
45, 0.5412, 0.5209
46, 0.5410, 0.5267
47, 0.5410, 0.5266
48, 0.5404, 0.5248
49, 0.5410, 0.5256
50, 0.5407, 0.5234
51, 0.5405, 0.5243
52, 0.5402, 0.5231
53, 0.5406, 0.5268
54, 0.5399, 0.5251
55, 0.5398, 0.5267
56, 0.5399, 0.5230
57, 0.5400, 0.5288
58, 0.5401, 0.5224
59, 0.5398, 0.5288
60, 0.5398, 0.5235
61, 0.5399, 0.5245
62, 0.5394, 0.5237
63, 0.5397, 0.5258
64, 0.5395, 0.5284
65, 0.5396, 0.5236
66, 0.5394, 0.5276
67, 0.5390, 0.5233
68, 0.5394, 0.5243
69, 0.5395, 0.5228
70, 0.5389, 0.5235
71, 0.5390, 0.5193
72, 0.5389, 0.5242
73, 0.5392, 0.5216
74, 0.5387, 0.5218
75, 0.5388, 0.5238
76, 0.5387, 0.5246
77, 0.5389, 0.5257
78, 0.5385, 0.5265
79, 0.5384, 0.5270
80, 0.5385, 0.5252
81, 0.5386, 0.5258
82, 0.5390, 0.5271
83, 0.5382, 0.5294
84, 0.5383, 0.5304
85, 0.5384, 0.5244
86, 0.5384, 0.5278
87, 0.5380, 0.5239
88, 0.5383, 0.5245
89, 0.5382, 0.5209
90, 0.5384, 0.5242
91, 0.5380, 0.5180
92, 0.5383, 0.5276
93, 0.5380, 0.5271
94, 0.5381, 0.5248
95, 0.5381, 0.5207
96, 0.5381, 0.5253
97, 0.5379, 0.5234
98, 0.5377, 0.5219
99, 0.5384, 0.5228
